,MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pCAMKII_N,pCREB_N,pELK_N,pERK_N,pJNK_N,PKCA_N,pMEK_N,pNR1_N,pNR2A_N,pNR2B_N,pPKCAB_N,pRSK_N,AKT_N,BRAF_N,CAMKII_N,CREB_N,ELK_N,ERK_N,GSK3B_N,JNK_N,MEK_N,TRKA_N,RSK_N,APP_N,Bcatenin_N,SOD1_N,MTOR_N,P38_N,pMTOR_N,DSCR1_N,AMPKA_N,NR2B_N,pNUMB_N,RAPTOR_N,TIAM1_N,pP70S6_N,NUMB_N,P70S6_N,pGSK3B_N,pPKCG_N,CDK5_N,S6_N,ADARB1_N,AcetylH3K9_N,RRP1_N,BAX_N,ARC_N,ERBB4_N,nNOS_N,Tau_N,GFAP_N,GluR3_N,GluR4_N,IL1B_N,P3525_N,pCASP9_N,PSD95_N,SNCA_N,Ubiquitin_N,pGSK3B_Tyr216_N,SHH_N,BAD_N,BCL2_N,pS6_N,pCFOS_N,SYP_N,H3AcK18_N,EGR1_N,CaNA_N,class,Ts65Dn
461,303,0.245222246,0.460811681,0.417221387,2.55228688,4.269057333,0.264762723,0.196907881,3.292033498,0.234915181,1.237921409,0.326819841,0.341850977,0.290959845,0.310285592,0.893278935,0.797079665,1.709254885,1.193901653,0.419153962,0.837234271,0.291818767,0.423663303,0.195834228,1.067854842,2.381790852,1.103070646,0.261541765,0.287094696,0.75327464,0.191754348,0.341421516,2.205497101,0.733948894,0.468971441,0.405196478,0.802877389,0.545415504,0.352372772,0.594374061,0.283873738,0.306849903,0.365471333,0.337126906,0.176508761,0.871901363,0.161583387,1.429331603,0.302141467,0.280467229,1.466580143,0.066580143,0.153406879,0.181440623,0.131992213,0.16430889,0.213238157,0.158857884,0.113043478,0.206748864,0.111875406,0.574302401,0.289162881,1.706554186,2.522128488,0.160285529,1.290071382,0.807397794,0.212329656,0.153406879,0.134847502,0.131992213,0.112524335,0.493964958,0.126541207,0.17871512,1.342245295,3,0
596,198,0.44573509,0.584778086,0.268377254,1.993758669,2.746879334,0.199202497,0.160887656,1.862343967,0.185679612,1.211511789,0.506414702,0.216712899,0.283980583,0.228848821,0.672503467,0.338245492,1.199549237,1.449202497,0.432558946,0.47850208,0.379160888,0.292995839,0.176317614,0.800104022,1.777912621,1.175277393,0.221567268,0.222260749,0.611477115,0.153779473,0.365984743,1.658980583,0.251213592,0.319868239,0.265083218,0.560159501,0.484049931,0.248613037,0.423543689,0.239771151,0.235090153,0.295076283,0.134535368,0.166440115,0.666213563,0.171726325,2.029602779,0.302220208,0.448723758,0.735689473,0.184413231,0.172934602,0.1847153,0.099984897,0.157227005,0.170367014,0.167950461,0.121129739,0.207672557,0.095755928,0.452801692,0.289231234,1.166440115,2.471076877,0.148920103,1.079142124,0.96148618,0.258420178,0.15791424234717408,0.132004229,0.099984897,0.171726325,0.384987162,0.196949101,0.18313453845517236,1.648240447,4,1
588,204,0.571500251,0.747992975,0.311465128,2.450200702,3.827270447,0.200075263,0.165454089,2.424611139,0.192925238,1.415955845,0.694932263,0.242348219,0.324636227,0.239086804,0.803060712,0.439036628,1.472403412,1.700326141,0.463371801,0.612393377,0.48181134,0.310963372,0.169468138,1.202082288,2.522328149,1.41281987,0.242473658,0.270572002,0.722779729,0.155920723,0.45446563,2.265303562,0.310461616,0.377446061,0.307827396,0.617536377,0.521951831,0.332538886,0.533115906,0.28386854,0.252759659,0.373181134,0.347967888,0.193253199,0.867933307,0.162543622,1.694067468,0.294920512,0.527723924,0.873671966,0.222256689,0.150988755,0.184412563,0.111438542,0.15029081,0.19441644,0.186816596,0.115471113,0.234044203,0.126560682,0.51454052,0.288173711,1.40131834,2.540364482,0.125862737,1.021093447,0.888716557,0.2138038,0.15791424234717408,0.109267158,0.111438542,0.104536642,0.384722761,0.149360217,0.18313453845517236,1.720201629,4,1
179,141,0.294270833,0.432291667,0.346354167,2.186197917,3.095052083,0.313802083,0.236002604,5.600260417,0.237630208,1.318684896,0.416666667,0.405598958,0.318359375,0.351236979,0.858072917,1.104817708,1.630533854,1.139648438,0.482096354,0.701822917,0.327473958,0.416341146,0.2109375,0.989908854,1.752278646,0.9140625,0.30859375,0.307617188,0.673502604,0.221354167,0.387044271,1.889973958,0.760742188,0.552408854,0.672526042,0.977539063,0.721354167,0.393554688,0.713541667,0.372070313,0.399739583,0.461588542,0.539388021,0.137396243,0.867409349,0.152686763,1.719309742,0.330275229,0.292704238,0.71450415,0.142857143,0.180646571,0.141764963,0.131498471,0.166666667,0.178680647,0.195063346,0.132809087,0.318261249,0.162516383,0.664700743,0.312363478,1.838138925,2.499563128,0.231542158,1.417212757,0.815421581,0.21996505,0.252512014,0.209480122,0.131498471,0.191131498,0.510048056,0.22433377,0.323066841,1.01310616,2,0
892,583,0.838115774,1.034168187,0.287444021,2.110963676,3.346491956,0.191905789,0.148946757,2.282965666,0.202355283,2.032675402,1.158235197,0.268369547,0.260242163,0.223917731,0.694974291,0.549344833,1.504063692,1.390280312,0.355448665,0.620832642,0.762647205,0.3552828,0.155913087,1.090728147,2.693979101,1.370210649,0.220102836,0.255266213,0.687842097,0.17332891,0.422458119,1.913750207,0.283131531,0.362912589,0.256095538,0.602587494,0.500414662,0.307181954,0.440869133,0.345828496,0.23984077,0.339691491,0.150439542,0.211378649,1.053164287,0.174621777,1.011932666,0.30396335,0.615597699,0.830705306,0.095354784,0.164713403,0.193586192,0.111442574,0.145962071,0.168761986,0.238972938,0.12465374,0.215214149,0.112188366,0.423076923,0.256978479,1.349776263,2.509482208,0.130620072,1.106008949,0.827722139,0.225442148,0.114319199,0.13476174899371066,0.111442574,0.102386533,0.337097805,0.10217345,0.151928404,1.676646069,5,1
605,221,0.467165809,0.6284511,0.255966308,1.785680861,2.848697551,0.198253003,0.158633599,2.607549524,0.186710342,1.42551864,0.674465762,0.264545313,0.247387303,0.237404461,0.649508657,0.623927624,1.347059741,0.994072688,0.344875994,0.541569178,0.404773046,0.29870535,0.1620652,0.854936827,2.440648885,0.884885353,0.205116207,0.242863828,0.596006863,0.129464982,0.400405553,1.816253315,0.2749961,0.343628139,0.303852753,0.624707534,0.533926065,0.25534238,0.421307128,0.328029949,0.260021837,0.329589768,0.151458431,0.18128655,1.169948681,0.159446235,0.985917174,0.304570951,0.418904404,0.71500179,0.200023869,0.159923619,0.174603175,0.124955245,0.160639694,0.177825516,0.189521423,0.123165055,0.267335004,0.146079484,0.664876477,0.275331185,1.926960258,2.47905478,0.146318176,1.104189044,0.786490035,0.229263635,0.15791424234717408,0.145124717,0.124955245,0.124597207,0.391932211,0.16960922624333333,0.18313453845517236,1.544695071,4,1
438,294,0.303962367,0.45413425,0.314818165,2.414510584,4.004704179,0.229781075,0.18201556,3.950606115,0.196309028,1.221277366,0.330920934,0.319522345,0.319341415,0.261624751,0.903926181,0.837886738,1.690428804,1.327121404,0.409082685,0.768952415,0.260358241,0.368192509,0.168445811,1.151257463,2.303600507,1.054821784,0.230504795,0.287497738,0.651709788,0.154876063,0.378867378,2.193776009,0.885652253,0.535190881,0.521440203,0.864664375,0.581328026,0.400759906,0.690609734,0.288945178,0.327845124,0.418129184,0.448163561,0.159367162,0.839282269,0.135249855,1.485143739,0.252363496,0.264036272,1.379413467,0.146054409,0.140362724,0.181169207,0.128497009,0.151746093,0.19197376,0.185220915,0.114508972,0.239243681,0.123577079,0.562126182,0.279085472,1.494887131,2.189176153,0.158788347,1.224773297,0.793748794,0.246382404,0.140362724,0.135732201,0.128497009,0.125602933,0.399479066,0.14094154,0.187825584,1.000482346,3,0
191,153,0.18980305,0.332433291,0.220139771,1.79272554,3.025095299,0.199491741,0.14707751,4.087833545,0.146601017,0.936308767,0.27525413,0.283672173,0.239675985,0.222045743,0.69297967,0.797013977,1.324015248,0.979669632,0.440279543,0.601493011,0.164072427,0.274301144,0.130559085,0.855622618,1.700603558,0.802890724,0.176620076,0.207433291,0.469027954,0.12341169,0.267630241,1.604510801,0.504606099,0.400730623,0.441073698,0.717598475,0.48729352,0.313850064,0.473475222,0.272236341,0.276048285,0.338468869,0.29431385,0.157478561,1.056576456,0.133979285,1.186435015,0.246129859,0.284998329,0.880833055,0.109811783,0.142220737,0.161822029,0.129747188,0.163158481,0.180866466,0.15168727,0.104465976,0.251030182,0.111593719,0.607528678,0.263058247,1.940973382,2.180643724,0.170620336,1.273749861,0.806437242,0.219734937,0.137320414,0.120503397,0.129747188,0.144448157,0.375765675,0.141775253,0.184653079,0.994431451,2,0
1043,809,0.391501784,0.624391826,0.4041518,2.623905287,5.215212455,0.304573467,0.19672397,6.449237755,0.244242621,1.610120013,0.447778138,0.377067791,0.441939669,0.359552384,0.91469348,0.796140123,1.784138826,2.48426857,0.544761596,0.80343821,0.349172884,0.416801816,0.222186182,1.229970808,2.943723646,1.282679209,0.280408693,0.327602984,0.854849173,0.182127798,0.538274408,2.541355822,0.54265326,0.596983458,0.522542978,0.965131366,0.757865715,0.493674992,0.708076549,0.467564061,0.424099903,0.587577035,0.751216348,0.174225415,0.947373148,0.185810507,2.671486304,0.32052088,0.40610687,1.845352492,0.22038617,0.186349349,0.209788954,0.142433767,0.163358779,0.20233498,0.202424787,0.132555007,0.182308038,0.138931298,0.447328244,0.317736866,1.517377638,2.380871127,0.18194881,1.471306691,0.922676246,0.245442299,0.17350696,0.137584194,0.142433767,0.115671307,0.475527616,0.162999551,0.186439156,1.155904805,7,1
494,456,0.299768519,0.4609375,0.366319444,2.44849537,3.238715278,0.258101852,0.223668981,2.607349537,0.216724537,1.202835648,0.339409722,0.344618056,0.295428241,0.308738426,0.874421296,0.748553241,1.629918981,1.103877315,0.429108796,0.74681713,0.291666667,0.394097222,0.2109375,1.003761574,2.000868056,0.968171296,0.26880787,0.287326389,0.68431713,0.204282407,0.38599537,2.058159722,0.953993056,0.56712963,0.565104167,0.853877315,0.678819444,0.374131944,0.685185185,0.34693287,0.357638889,0.40162037,0.369791667,0.147667419,0.843491347,0.146538751,1.126410835,0.306809631,0.241911211,1.153875094,0.102332581,0.145221971,0.156884876,0.132994733,0.168171558,0.191685478,0.169300226,0.12434161,0.308878856,0.164973664,0.632242287,0.309819413,1.615124153,2.418171558,0.2086155,1.304552295,0.804552295,0.283295711,0.21275395,0.13476174899371066,0.132994733,0.17400301,0.503386005,0.215387509,0.309066968,1.196952596,3,0
352,448,0.29067136,0.472592406,0.299346241,2.247674126,3.910736736,0.14835303,0.120819713,3.25257732,0.159039477,0.917902942,0.4204174,0.224666834,0.32612522,0.172868997,0.791928589,0.738119185,1.467186321,2.081468444,0.359567513,0.437767161,0.23183304,0.29456877,0.141941162,0.776087503,2.5,1.191853156,0.190595927,0.203671109,0.622579834,0.130751823,0.364722152,2.031179281,0.27206437,0.430726678,0.350515464,0.655016344,0.505280362,0.345989439,0.499245663,0.330274076,0.27508172,0.368619562,0.368745285,0.179029559,0.785276074,0.146601864,1.854991634,0.272647598,0.314795634,1.652298622,0.125408334,0.147000239,0.188988925,0.10286033,0.148593738,0.153135208,0.143335192,0.115528643,0.23822803,0.116803442,0.499721138,0.292566329,1.515656123,2.093697713,0.141901044,1.019440682,0.853477811,0.208190582,0.129790455,0.111146522,0.10286033,0.121743287,0.410246196,0.106445702,0.145247391,1.838180225,1,0
538,530,0.227461608,0.385727191,0.238121048,1.889611563,2.913098464,0.210478771,0.170731707,2.363504968,0.1833785,1.041915086,0.270822042,0.262872629,0.224209575,0.242276423,0.674435411,0.522673893,1.274254743,0.960252936,0.404155375,0.71129178,0.250948509,0.329358627,0.169105691,0.90063234,1.891237579,0.839385727,0.206323397,0.235953026,0.558084914,0.152303523,0.261607949,1.682746161,0.567841012,0.342728094,0.325383921,0.57868112,0.457452575,0.26865402,0.480939476,0.222222222,0.227280939,0.283288166,0.22131888,0.158612144,0.838634173,0.156546881,1.106567534,0.278948093,0.308412502,0.932810134,0.095415118,0.165220983,0.189453394,0.129147735,0.158749828,0.177474873,0.153242462,0.125017211,0.198678232,0.094726697,0.712515489,0.268759466,1.806416082,2.275092937,0.167010877,1.303593556,0.833677544,0.249759053,0.176373399,0.153930883,0.129147735,0.163568773,0.472532012,0.167699298,0.215751067,1.380558998,3,0
357,439,0.267156863,0.391402715,0.255656109,1.868401207,3.049962293,0.135935143,0.116892911,2.45852187,0.136877828,0.868966817,0.38178733,0.192684766,0.301659125,0.152903469,0.703054299,0.617081448,1.214177979,2.168552036,0.31372549,0.371606335,0.239441931,0.263574661,0.138386124,0.638763198,1.867647059,1.0086727,0.16214178,0.154600302,0.509426848,0.131598793,0.319381599,1.492647059,0.266779789,0.431372549,0.377262443,0.624434389,0.518853695,0.322209653,0.480015083,0.312594268,0.307880845,0.354072398,0.35086727,0.151116625,0.643424318,0.142431762,1.962158809,0.246401985,0.280645161,1.135359801,0.100620347,0.141563275,0.166377171,0.101240695,0.13325062,0.152729529,0.131265509,0.105583127,0.222952854,0.108188586,0.446029777,0.29057072,1.270471464,1.845781638,0.144044665,0.985483871,0.800248139,0.213523573,0.147022333,0.114516129,0.101240695,0.133870968,0.345905707,0.105707196,0.162158809,1.503349876,1,0
82,193,0.485691988,0.629682622,0.299947971,2.31776795,4.150104058,0.204604579,0.15153486,3.572320499,0.163891779,1.290712799,0.685744017,0.281867846,0.327783559,0.230489074,0.854318418,0.779656608,1.529786681,2.098985432,0.496097815,0.604448491,0.38280437,0.288241415,0.150494277,1.060483871,2.380723205,1.284469303,0.220603538,0.229968783,0.635796046,0.132674298,0.367976067,2.021331946,0.287200832,0.446540062,0.363943809,0.665972945,0.521201873,0.357310094,0.552419355,0.342741935,0.302029136,0.375,0.370707596,0.188215904,0.807086939,0.159373712,2.015327565,0.283971982,0.409064689,1.430984755,0.112402143,0.150144211,0.178986403,0.125587145,0.161104244,0.189287186,0.170333745,0.124927895,0.245076226,0.121302019,0.534569427,0.320148331,1.55434693,2.307869798,0.158714462,1.141161928,0.948825711,0.235929131,0.144128554,0.106386485,0.125587145,0.136959209,0.412937783,0.122043675,0.160939431,1.485702513,0,0
864,376,0.385826772,0.593951324,0.332319256,2.110415175,2.957945598,0.252505369,0.179849678,3.952040086,0.241947029,1.276127416,0.495705082,0.357730852,0.408732999,0.295275591,0.679670723,0.776843236,1.50948461,2.507874016,0.543843951,0.57408733,0.375805297,0.362204724,0.181281317,0.997315676,2.123836793,1.09198282,0.25,0.275232641,0.719398712,0.187007874,0.422870437,1.752326414,0.313707946,0.371868289,0.331782391,0.754831782,0.549212598,0.289906943,0.46385111,0.364173228,0.276127416,0.390121689,0.524337867,0.216049383,1.009550431,0.20055905,3.244001863,0.325064058,0.61996273,0.882133706,0.292685768,0.209177731,0.208362451,0.116352201,0.14360587,0.205450734,0.207314232,0.13393897,0.188795714,0.125436758,0.439785698,0.297111577,1.720242255,2.085953878,0.163056138,1.352434195,0.934544608,0.27498253,0.190659213,0.134637782,0.116352201,0.152457489,0.434195201,0.212555323,0.179361752,1.710225949,5,1
762,619,0.28934276,0.582089552,0.349829798,2.398795496,3.786855198,0.320764598,0.222833202,4.325739722,0.234354543,1.419219691,0.324692328,0.385703064,0.330714847,0.341450642,0.830322074,0.761717727,1.692065986,1.221523959,0.460068081,0.924849437,0.306362922,0.480754124,0.216286986,1.212359256,2.439643886,1.096622152,0.277559571,0.313170987,0.773500916,0.221000262,0.440167583,2.05446452,0.852579209,0.460591778,0.451165226,0.843152658,0.689447499,0.367897355,0.77088243,0.385441215,0.325739722,0.430479183,0.33987955,0.168073263,0.736757048,0.152810199,1.379242234,0.273657748,0.537259831,1.149937152,0.347997845,0.168432394,0.17884719,0.146166278,0.1969833,0.20093374,0.275453403,0.119051894,0.187825462,0.108457533,0.770335787,0.329502604,1.69797091,2.311007362,0.216555935,1.458071467,0.949542108,0.304722571,0.186568504,0.174537619,0.146166278,0.163224996,0.476028012,0.247979889,0.245465972,1.156401508,6,1
70,107,0.33923236,0.477591358,0.301080211,1.954952884,3.619627672,0.236497357,0.19030108,3.416226155,0.176281315,1.089404735,0.503332567,0.335784877,0.288899104,0.257871754,0.730176971,0.704895426,1.434153068,1.012640772,0.372098368,0.666283613,0.299701218,0.377384509,0.17789014,0.904159963,2.413468168,0.959089864,0.248908297,0.248448632,0.633647437,0.163640542,0.378763503,1.797517812,0.323833601,0.503332567,0.451160653,0.761204321,0.654792002,0.390025282,0.58837049,0.453918639,0.339921857,0.407032866,0.193288899,0.174596491,0.903578947,0.163087719,0.871719298,0.315087719,0.341052632,1.124912281,0.091649123,0.166035088,0.165473684,0.14077193,0.154245614,0.170245614,0.171649123,0.135719298,0.255578947,0.144701754,0.63522807,0.31522807,1.635508772,2.188631579,0.186526316,1.335298246,0.831719298,0.246315789,0.15791424234717408,0.166175439,0.14077193,0.14877193,0.459087719,0.16960922624333333,0.18313453845517236,1.577964912,0,0
